--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:28:49 2023
--------------------------------------------------------------------------------

{'pid': 12988, 'name': 'cmd.exe', 'username': 'DC2\\ashinde05', 'vms': 2.89453125}
{'pid': 13076, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 274.90625}
{'pid': 13180, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.23046875}
{'pid': 13268, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 194.7890625}
{'pid': 13284, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.09765625}
{'pid': 13288, 'name': 'dcondemand.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 8.24609375}
{'pid': 13292, 'name': 'DellSupportAssistRemedationService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 73.6953125}
{'pid': 13316, 'name': 'Dell.TechHub.Instrumentation.UserProcess.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 42.046875}
{'pid': 13384, 'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 52.9453125}
{'pid': 13396, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.58203125}
{'pid': 13460, 'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 66.1796875}
{'pid': 13480, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.5859375}
{'pid': 13536, 'name': 'Dell.TechHub.Instrumentation.SubAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 97.86328125}
{'pid': 13564, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.54296875}
{'pid': 13692, 'name': 'SgrmBroker.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 7.0}
{'pid': 13996, 'name': 'SupportAssistAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 168.06640625}
{'pid': 14008, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 130.8984375}
