--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:25:27 2023
--------------------------------------------------------------------------------

{'name': 'SystemSettings.exe', 'pid': 7396, 'username': 'DC2\\ashinde05', 'vms': 55.1328125}
{'name': 'chrome.exe', 'pid': 7432, 'username': 'DC2\\ashinde05', 'vms': 189.8046875}
{'name': 'svchost.exe', 'pid': 7588, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 11.328125}
{'name': 'conhost.exe', 'pid': 7592, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.58984375}
{'name': 'svchost.exe', 'pid': 7612, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.84375}
{'name': 'Dell.TechHub.Analytics.SubAgent.exe', 'pid': 7692, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 56.6953125}
{'name': 'DDVRulesProcessor.exe', 'pid': 7816, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.18359375}
{'name': 'explorer.exe', 'pid': 8012, 'username': 'DC2\\ashinde05', 'vms': 259.1171875}
{'name': 'cmd.exe', 'pid': 8052, 'username': 'DC2\\ashinde05', 'vms': 2.2890625}
{'name': 'SearchApp.exe', 'pid': 8200, 'username': 'DC2\\ashinde05', 'vms': 183.87109375}
{'name': 'PanGPA.exe', 'pid': 8260, 'username': 'DC2\\ashinde05', 'vms': 4.703125}
{'name': 'SearchApp.exe', 'pid': 8336, 'username': 'DC2\\ashinde05', 'vms': 157.23828125}
{'name': 'RuntimeBroker.exe', 'pid': 8344, 'username': 'DC2\\ashinde05', 'vms': 8.2109375}
{'name': 'chrome.exe', 'pid': 8480, 'username': 'DC2\\ashinde05', 'vms': 54.1015625}
{'name': 'SkypeApp.exe', 'pid': 8548, 'username': 'DC2\\ashinde05', 'vms': 48.30859375}
{'name': 'SkypeBackgroundHost.exe', 'pid': 8596, 'username': 'DC2\\ashinde05', 'vms': 2.04296875}
{'name': 'Dell.TechHub.exe', 'pid': 8764, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 40.953125}
{'name': 'SentinelUI.exe', 'pid': 8800, 'username': 'DC2\\ashinde05', 'vms': 23.3125}
{'name': 'CompPkgSrv.exe', 'pid': 8924, 'username': 'DC2\\ashinde05', 'vms': 1.61328125}
{'name': 'RuntimeBroker.exe', 'pid': 8952, 'username': 'DC2\\ashinde05', 'vms': 4.28125}
{'name': 'svchost.exe', 'pid': 9016, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.7421875}
{'name': 'Code.exe', 'pid': 9036, 'username': 'DC2\\ashinde05', 'vms': 31.484375}
{'name': 'chrome.exe', 'pid': 9060, 'username': 'DC2\\ashinde05', 'vms': 39.12890625}
{'name': 'UserOOBEBroker.exe', 'pid': 9108, 'username': 'DC2\\ashinde05', 'vms': 2.2578125}
{'name': 'Code.exe', 'pid': 9116, 'username': 'DC2\\ashinde05', 'vms': 18.6640625}
{'name': 'chrome.exe', 'pid': 9268, 'username': 'DC2\\ashinde05', 'vms': 32.91015625}
{'name': 'Microsoft.Photos.exe', 'pid': 9388, 'username': 'DC2\\ashinde05', 'vms': 62.28515625}
{'name': 'unsecapp.exe', 'pid': 9420, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.5546875}
{'name': 'Code.exe', 'pid': 9432, 'username': 'DC2\\ashinde05', 'vms': 186.265625}
{'name': 'TextInputHost.exe', 'pid': 9524, 'username': 'DC2\\ashinde05', 'vms': 44.5234375}
{'name': 'chrome.exe', 'pid': 9540, 'username': 'DC2\\ashinde05', 'vms': 56.796875}
{'name': 'OneDrive.exe', 'pid': 9628, 'username': 'DC2\\ashinde05', 'vms': 75.26171875}
{'name': 'SecurityHealthSystray.exe', 'pid': 9688, 'username': 'DC2\\ashinde05', 'vms': 1.84765625}
{'name': 'SecurityHealthService.exe', 'pid': 9720, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.61328125}
